No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1,CACC,Credit Acceptance Corporation,Financial,Credit Services,USA,8.54B,13.56,457.65,-0.42%,"104,522"
2,ESGR,Enstar Group Limited,Financial,Property & Casualty Insurance,Bermuda,4.33B,7.40,202.67,-0.94%,"36,353"
3,PINC,"Premier, Inc.",Technology,Healthcare Information Services,USA,4.32B,1.60,35.72,-3.20%,"469,893"
4,PVAC,Penn Virginia Corporation,Basic Materials,Independent Oil & Gas,USA,365.30M,1.36,23.86,-5.50%,"185,664"
5,BHF,"Brighthouse Financial, Inc.",Financial,Life Insurance,USA,4.52B,2.71,40.75,-1.81%,"895,742"
6,ALGT,Allegiant Travel Company,Services,Regional Airlines,USA,2.79B,13.21,173.00,-1.03%,"127,704"
7,WLFC,Willis Lease Finance Corporation,Services,Rental & Leasing Services,USA,342.80M,4.62,58.80,-0.08%,"5,300"
8,UAL,"United Airlines Holdings, Inc.",Services,Major Airlines,USA,20.91B,7.60,81.90,-3.51%,"6,765,900"
9,AAWW,"Atlas Air Worldwide Holdings, Inc.",Services,"Air Services, Other",USA,631.86M,2.35,24.74,-3.43%,"382,704"
10,CVCO,"Cavco Industries, Inc.",Industrial Goods,Residential Construction,USA,2.03B,27.41,224.87,0.07%,"59,548"
11,VIAC,ViacomCBS Inc.,Services,Entertainment - Diversified,USA,22.02B,4.64,35.79,-3.24%,"10,767,548"
12,BBSI,"Barrett Business Services, Inc.",Services,Staffing & Outsourcing Services,USA,635.60M,12.50,86.83,-1.32%,"26,564"
13,FANG,"Diamondback Energy, Inc.",Basic Materials,Independent Oil & Gas,USA,13.37B,11.96,82.84,-2.20%,"1,602,305"
14,LPLA,LPL Financial Holdings Inc.,Financial,Investment Brokerage - National,USA,7.77B,14.74,94.94,-2.17%,"564,413"
15,LGIH,"LGI Homes, Inc.",Financial,Real Estate Development,USA,1.90B,13.37,82.15,-0.59%,"195,180"
16,ECPG,"Encore Capital Group, Inc.",Financial,Asset Management,USA,1.10B,6.57,35.97,-2.55%,"173,829"
17,PNFP,"Pinnacle Financial Partners, Inc.",Financial,Regional - Southeast Banks,USA,4.58B,11.66,60.64,-1.61%,"343,635"
18,CMLS,Cumulus Media Inc.,Services,Broadcasting - Radio,USA,252.78M,2.84,14.42,-4.06%,"40,433"
19,GLIBA,"GCI Liberty, Inc.",Technology,Telecom Services - Domestic,USA,7.67B,14.45,72.24,-0.85%,"242,752"
20,OMP,Oasis Midstream Partners LP,Basic Materials,Independent Oil & Gas,USA,559.22M,3.46,16.55,-1.55%,"93,607"
21,PTSI,"P.A.M. Transportation Services, Inc.",Services,Trucking,USA,316.01M,11.95,55.44,-1.61%,"1,765"
22,INTL,INTL FCStone Inc.,Financial,Investment Brokerage - National,USA,950.90M,11.40,50.10,-2.19%,"57,662"
23,GGAL,Grupo Financiero Galicia S.A.,Financial,Foreign Regional Banks,Argentina,2.14B,3.26,13.99,-3.85%,"711,301"
24,IMKTA,"Ingles Markets, Incorporated",Services,Grocery Stores,USA,880.06M,10.75,43.31,-1.99%,"41,701"
25,PACW,PacWest Bancorp,Financial,Regional - Pacific Banks,USA,4.20B,9.28,35.57,-2.97%,"970,865"
26,PKOH,Park-Ohio Holdings Corp.,Services,Industrial Equipment Wholesale,USA,398.88M,8.67,32.22,-3.10%,"17,820"
27,NBLX,Noble Midstream Partners LP,Basic Materials,Oil & Gas Pipelines,USA,898.01M,6.14,22.70,-2.74%,"635,438"
28,BOOM,DMC Global Inc.,Industrial Goods,Metal Fabrication,USA,615.32M,11.46,42.29,-1.10%,"202,448"
29,QCOM,QUALCOMM Incorporated,Technology,Communication Equipment,USA,107.40B,25.02,89.65,-2.55%,"9,410,803"
30,CSIQ,Canadian Solar Inc.,Technology,Semiconductor - Specialized,Canada,1.26B,5.92,21.08,-1.45%,"725,917"
31,AAL,American Airlines Group Inc.,Services,Major Airlines,USA,12.21B,7.80,27.64,-4.03%,"17,912,200"
32,OZK,Bank OZK,Financial,Regional - Southeast Banks,USA,3.45B,8.09,27.63,-1.60%,"1,170,562"
33,MBUU,"Malibu Boats, Inc.",Consumer Goods,"Recreational Goods, Other",USA,881.88M,13.09,44.05,0.14%,"128,721"
34,INVA,"Innoviva, Inc.",Healthcare,Biotechnology,USA,1.43B,4.30,14.24,-0.90%,"328,568"
35,IRBT,iRobot Corporation,Consumer Goods,Appliances,USA,1.54B,16.98,54.78,-0.87%,"1,079,710"
36,ATLC,Atlanticus Holdings Corporation,Financial,Credit Services,USA,193.90M,4.01,12.74,-1.92%,"25,899"
37,BSTC,BioSpecifics Technologies Corp.,Healthcare,Biotechnology,USA,406.95M,17.85,56.60,-2.63%,"31,035"
38,FITB,Fifth Third Bancorp,Financial,Regional - Midwest Banks,USA,20.96B,9.39,28.84,-1.77%,"4,794,761"
39,TSBK,"Timberland Bancorp, Inc.",Financial,Savings & Loans,USA,239.97M,10.05,28.50,0.00%,"10,171"
40,CG,The Carlyle Group Inc.,Financial,Asset Management,USA,11.37B,12.01,33.72,-2.12%,"1,910,679"
41,PKBK,"Parke Bancorp, Inc.",Financial,Regional - Northeast Banks,USA,248.72M,8.74,23.31,-0.72%,"21,342"
42,CONN,"Conn's, Inc.",Services,Electronics Stores,USA,258.14M,3.48,9.17,-4.83%,"1,523,721"
43,DISCA,"Discovery, Inc.",Services,CATV Systems,USA,15.05B,11.72,30.32,-0.43%,"6,040,932"
44,FIZZ,National Beverage Corp.,Consumer Goods,Beverages - Soft Drinks,USA,2.18B,18.18,45.80,-0.02%,"148,150"
45,HEES,"H&E Equipment Services, Inc.",Services,Rental & Leasing Services,USA,1.01B,11.47,28.79,-0.86%,"180,536"
46,TCF,TCF Financial Corporation,Financial,Regional - Midwest Banks,USA,6.68B,17.70,44.24,-2.19%,"765,139"
47,DXPE,"DXP Enterprises, Inc.",Services,Industrial Equipment Wholesale,USA,636.08M,15.14,36.96,-2.07%,"26,681"
48,IMOS,ChipMOS TECHNOLOGIES INC.,Technology,Semiconductor Equipment & Materials,Taiwan,797.71M,9.24,21.73,-0.69%,"2,653"
49,KFRC,Kforce Inc.,Services,Staffing & Outsourcing Services,USA,864.42M,16.69,38.47,-1.33%,"74,983"
50,NMIH,"NMI Holdings, Inc.",Financial,Surety & Title Insurance,USA,2.20B,14.39,32.66,-0.31%,"411,271"
51,BRY,Berry Petroleum Corporation,Basic Materials,Independent Oil & Gas,USA,589.19M,3.23,7.24,-6.52%,"540,446"
52,CMCO,Columbus McKinnon Corporation,Industrial Goods,Farm & Construction Machinery,USA,847.67M,16.74,37.00,-2.64%,"139,183"
53,PDCE,"PDC Energy, Inc.",Basic Materials,Independent Oil & Gas,USA,1.31B,9.83,21.06,-2.39%,"2,411,535"
54,HOFT,Hooker Furniture Corporation,Consumer Goods,Home Furnishings & Fixtures,USA,299.26M,12.09,25.27,-0.88%,"43,362"
55,HOLI,Hollysys Automation Technologies Ltd.,Industrial Goods,Industrial Electrical Equipment,China,996.28M,7.84,16.37,-1.39%,"95,314"
56,WSTG,"Wayside Technology Group, Inc.",Services,Computers Wholesale,USA,73.38M,7.81,16.31,0.27%,"12,081"
57,NAVI,Navient Corporation,Financial,Credit Services,USA,3.31B,7.27,15.10,-2.23%,"1,674,468"
58,MRLN,Marlin Business Services Corp.,Financial,Mortgage Investment,USA,255.43M,10.49,21.25,-0.09%,"9,255"
59,SUPN,"Supernus Pharmaceuticals, Inc.",Healthcare,Drugs - Generic,USA,1.24B,11.99,23.57,-2.64%,"403,271"
60,EXEL,"Exelixis, Inc.",Healthcare,Biotechnology,USA,5.46B,9.21,18.02,-7.92%,"4,709,724"
61,AVNW,"Aviat Networks, Inc.",Technology,Communication Equipment,USA,76.08M,7.53,14.22,0.07%,"8,637"
